"","A1","A2","A3","A1","A2","A3"
"1",1,1,1,0.9923,0.9434,0.9918
"2",0,1,0,0.3642,0.7487,0.2695
"3",1,0,1,0.9065,0.0223,0.8477
"4",1,1,1,0.9736,0.8477,0.986
"5",1,0,1,0.941,0.1763,0.9776
"6",1,0,1,0.9018,0.0532,0.9387
"7",1,1,1,0.9563,0.86,0.9243
"8",1,0,1,0.9401,0.1511,0.973
"9",1,1,1,0.9521,0.5535,0.9591
"10",1,1,1,0.9577,0.6911,0.9553
"11",0,1,0,0.4861,0.6783,0.0588
"12",1,1,1,0.7996,0.7247,0.7057
"13",1,1,1,0.6898,0.516,0.7535
"14",1,1,1,0.9056,0.586,0.8697
"15",1,1,1,0.9331,0.7085,0.8255
"16",1,1,1,0.8642,0.5477,0.9707
"17",1,1,1,0.9134,0.7491,0.8873
"18",1,1,1,0.9457,0.5998,0.9695
"19",1,1,1,0.9632,0.7288,0.9751
"20",1,1,1,0.9713,0.7903,0.984
"21",1,0,1,0.5435,0.2343,0.7246
"22",1,1,0,0.5333,0.6664,0.1104
"23",1,1,1,0.9969,0.9897,0.9985
"24",1,1,1,0.9901,0.967,0.9952
"25",1,1,1,0.7389,0.7902,0.6603
"26",0,1,0,0.45,0.6068,0.1294
"27",1,0,1,0.6899,0.224,0.8783
"28",1,1,1,0.9324,0.7748,0.9854
"29",1,1,1,0.967,0.81,0.9826
"30",0,1,0,0.4927,0.5191,0.3374
"31",1,0,1,0.9334,0.3565,0.9068
"32",1,1,1,0.9676,0.892,0.993
"33",1,1,1,0.9923,0.9434,0.9918
"34",1,1,1,0.9922,0.9742,0.9976
"35",1,0,1,0.9165,0.193,0.926
"36",1,1,1,0.9809,0.8959,0.9921
"37",1,1,1,0.9474,0.8848,0.9483
"38",1,0,1,0.6175,0.0434,0.8526
"39",1,1,1,0.779,0.6639,0.7241
"40",1,1,1,0.7665,0.6858,0.8643
"41",1,1,1,0.9852,0.9146,0.9876
"42",1,1,1,0.9989,0.9972,0.9953
"43",1,1,1,0.9565,0.6824,0.9709
"44",1,1,1,0.8938,0.6251,0.6799
"45",1,1,1,0.995,0.9834,0.9968
"46",1,1,1,0.9928,0.961,0.9925
"47",1,0,1,0.535,0.1968,0.705
"48",1,1,1,0.9823,0.835,0.9337
"49",1,1,1,0.8765,0.8092,0.8434
"50",1,0,1,0.909,0.1088,0.9183
"51",1,1,1,0.9639,0.7364,0.9758
"52",1,0,1,0.9321,0.0304,0.973
"53",1,1,1,0.9624,0.7834,0.9813
"54",1,1,0,0.6851,0.703,0.4208
"55",1,0,1,0.7285,0.2747,0.6175
"56",1,1,1,0.9922,0.9742,0.9976
"57",1,0,1,0.9044,0.1096,0.9423
"58",1,1,1,0.9829,0.8752,0.9819
"59",1,0,1,0.5434,0.2267,0.7219
"60",1,1,1,0.7147,0.7736,0.5531
"61",1,1,1,0.706,0.5169,0.6406
"62",1,0,1,0.9126,0.0887,0.8483
"63",1,0,1,0.9003,0.072,0.9399
"64",1,1,1,0.9968,0.9818,0.9965
"65",1,1,1,0.9844,0.948,0.99
"66",1,0,1,0.6231,0.0261,0.8473
"67",1,1,0,0.597,0.6124,0.4892
"68",1,1,1,0.9576,0.7553,0.9814
"69",1,1,1,0.9965,0.9924,0.9914
"70",1,1,1,0.9156,0.9252,0.6937
"71",1,0,1,0.908,0.111,0.9323
"72",1,0,1,0.898,0.1028,0.9419
"73",1,1,0,0.5181,0.7169,0.245
"74",1,1,1,0.9284,0.7497,0.7863
"75",0,1,1,0.1504,0.5615,0.7859
"76",1,1,1,0.9722,0.7566,0.9531
"77",1,0,1,0.9302,0.3504,0.9404
"78",1,1,1,0.9784,0.928,0.9938
"79",1,1,0,0.6904,0.5701,0.2993
"80",1,0,1,0.9314,0.0433,0.9733
"81",1,1,0,0.9046,0.9155,0.2776
"82",0,1,0,0.3116,0.7657,0.2222
"83",1,0,1,0.5563,0.403,0.7422
"84",1,1,1,0.9137,0.7054,0.7484
"85",1,1,0,0.5827,0.7041,0.0555
"86",1,1,0,0.7243,0.7335,0.1693
"87",1,1,1,0.832,0.9013,0.8934
"88",1,1,1,0.763,0.6261,0.6003
"89",1,0,1,0.9095,0.1282,0.9435
"90",1,1,0,0.6204,0.645,0.2992
"91",1,0,1,0.9309,0.0144,0.9722
"92",1,1,1,0.9606,0.9137,0.9534
"93",0,1,1,0.1845,0.5501,0.6954
"94",1,1,1,0.9907,0.9495,0.9903
"95",1,1,1,0.9504,0.8879,0.951
"96",1,0,1,0.6573,0.1891,0.8536
"97",1,0,1,0.6746,0.495,0.7375
"98",1,1,1,0.957,0.683,0.9541
"99",1,1,1,0.9598,0.8717,0.8904
"100",1,1,1,0.9956,0.9615,0.9845
"101",1,1,1,0.9582,0.6108,0.925
"102",1,1,1,0.9889,0.8667,0.9958
"103",1,1,0,0.8695,0.9233,0.1038
"104",1,0,1,0.9054,0.1195,0.9329
"105",1,1,1,0.9904,0.9444,0.9777
"106",1,0,1,0.9482,0.282,0.98
